Year,Make,Model,Fuel Type,Car Type,Car Build,Count
2019,Alfa,Romeo Stelvio,Diesel,2.2L Diesel SUV 4WD,SUV,6
2019,Alfa,Romeo Stelvio,Petrol,2.9L SUV 4WD,SUV,1
2019,Audi,A1,Petrol,1.5L Hatchback FWD,OTHER,2
2019,Audi,A3,Petrol,1.4L Convertible FWD,OTHER,3
2019,Audi,A3,Petrol,1.4L Hatchback FWD,OTHER,8
2019,Audi,A3,Petrol,1.4L Sedan FWD,OTHER,21
2019,Audi,A3,Petrol,2.0L Convertible 4WD,OTHER,1
2019,Audi,A3,Petrol,2.0L Hatchback 4WD,OTHER,2
2019,Audi,A3,Petrol,2.0L Hatchback FWD,OTHER,5
2019,Audi,A3,Petrol,2.0L Sedan 4WD,OTHER,13
2019,Audi,A3,Petrol,2.0L Sedan FWD,OTHER,2
2019,Audi,A3,Petrol,S line plus 1.4L Hatchback FWD,OTHER,6
2019,Audi,A3,Petrol,S line plus 1.4L Sedan FWD,OTHER,4
2019,Audi,A3,Petrol,S line plus 2.0L Hatchback FWD,OTHER,1
2019,Audi,A3,Petrol,S line plus 2.0L Sedan 4WD,OTHER,2
2019,Audi,A3,Petrol,S line plus 2.0L Sedan FWD,OTHER,4
2019,Audi,A4,Petrol,1.4L Sedan FWD,OTHER,2
2019,Audi,A4,Petrol,2.0L Sedan FWD,OTHER,3
2019,Audi,A4,Petrol,45 TFSI 2.0L Wagon 4WD,OTHER,1
2019,Audi,A4,Petrol,S line 1.4L Sedan FWD,OTHER,12
2019,Audi,A4,Petrol,S line 2.0L Sedan 4WD,OTHER,16
2019,Audi,A4,Petrol,S line 2.0L Sedan FWD,OTHER,4
2019,Audi,A4,Petrol,S line 2.0L Wagon 4WD,OTHER,5
2019,Audi,A5,Petrol,2.0L Hatchback 4WD,OTHER,2
2019,Audi,A5,Petrol,sport 2.0L Coupe 4WD,OTHER,1
2019,Audi,A5,Petrol,sport 2.0L Hatchback 4WD,OTHER,7
