Year,Make,Model,Price,Mileage,Location,Additional,Fuel Type,Car Type,Scraping Time,Source,Car Build,MSRP,Retention Rate,Age,Fuel Type Adjusted
2020,Nissan,X-TRAIL,299990,33832,QLD,Drive Away,Petrol,2.5L SUV FWD,1714787251,Drive,SUV,26335,11.39130435,4,Conventional
2021,Hyundai,i30,45550,17233,QLD,*Excl. Govt. Charges,Petrol,2.0L Hatchback FWD,1714183589,Drive,OTHER,25395,1.793660169,3,Conventional
2022,Tesla,Model Y,76683,19464,ACT,Drive Away,Electric,SUV RWD,1714183320,Drive,SUV,43415,1.766278936,2,Electric
2022,Kia,Sportage,59066,18665,SA,Drive Away,Diesel,2.0L Diesel SUV 4WD,1714787862,Drive,SUV,33490,1.763690654,2,Conventional
2021,Hyundai,i30,43990,41519,QLD,*Excl. Govt. Charges,Petrol,2.0L Hatchback FWD,1711776736,Drive,OTHER,25395,1.732230754,3,Conventional
2022,MG,ZS,37990,25625,WA,*Excl. Govt. Charges,Petrol,1.5L SUV FWD,1720827704,Drive,SUV,21990,1.727603456,2,Conventional
2022,Isuzu,D-MAX,72090,14631,QLD,Drive Away,Diesel,3.0L Diesel Dual Cab Ute 4XD,1719639072,Drive,UTE,41990,1.716837342,2,Conventional
2023,Volkswagen,Tiguan,67535,1501,QLD,Drive Away,Petrol,Allspace 2.0L SUV 4WD,1719638545,Drive,SUV,39845,1.694942904,1,Conventional
2022,Kia,Sportage,55050,24703,SA,Drive Away,Diesel,2.0L Diesel SUV 4WD,1716008268,Drive,SUV,33490,1.643774261,2,Conventional
2023,Tesla,Model Y,69950,4832,VIC,*Excl. Govt. Charges,Electric,SUV RWD,1713580785,Drive,SUV,42790,1.63472774,1,Electric
2023,Volkswagen,Tiguan,64690,908,VIC,Drive Away,Petrol,Allspace 2.0L SUV 4WD,1717247493,Drive,SUV,39845,1.623541222,1,Conventional
2023,Tesla,Model Y,69214,16428,WA,Drive Away,Electric,SUV RWD,1718427950,Drive,SUV,42790,1.61752746,1,Electric
2023,Tesla,Model Y,69106,16428,WA,Drive Away,Electric,SUV RWD,1713580229,Drive,SUV,42790,1.615003505,1,Electric
2023,Nissan,X-TRAIL,65990,7400,QLD,Drive Away,Hybrid,e-POWER 1.5L SUV 4WD Hybrid,1711776669,Drive,SUV,41090,1.605986858,1,Hybrid
2023,Tesla,Model Y,68530,16428,WA,Drive Away,Electric,SUV RWD,1715393697,Drive,SUV,42790,1.601542416,1,Electric
2023,Tesla,Model Y,68450,8274,VIC,*Excl. Govt. Charges,Electric,SUV RWD,1714787356,Drive,SUV,42790,1.599672821,1,Electric
2022,Isuzu,D-MAX,67085,35799,WA,Drive Away,Diesel,3.0L Diesel Dual Cab Ute 4XD,1715393909,Drive,UTE,41990,1.597642296,2,Conventional
2023,Volkswagen,Tiguan,62990,1988,VIC,Drive Away,Petrol,Allspace 2.0L SUV 4WD,1714788186,Drive,SUV,39845,1.580875894,1,Conventional
