Year,Make,Model,Price,Location,Mileage,Fuel Type,URL
2024,Mitsubishi,Outlander,"$48,888Drive Away","Glen Waverley, VIC",5 km,Petrol,drive.com.au/cars-for-sale/car/969495438/
2023,Mazda,CX-5,"$55,116Drive Away","Mulgrave, VIC",10 km,Petrol,drive.com.au/cars-for-sale/car/969495393/
2019,Toyota,Hilux,"$47,984*Excl. Govt. Charges","Bentley , WA","81,835 km",Diesel,drive.com.au/cars-for-sale/car/969495620/
2024,Mitsubishi,Outlander,"$51,888Drive Away","Glen Waverley, VIC",6 km,Petrol,drive.com.au/cars-for-sale/car/969495436/
2020,Toyota,Hilux,"$42,988*Excl. Govt. Charges","Bentley , WA","146,923 km",Diesel,drive.com.au/cars-for-sale/car/969495675/
2023,GWM,Haval Jolion,"$24,998Drive Away","Moorooka , QLD","16,337 km",Petrol,drive.com.au/cars-for-sale/car/969495584/
2024,Mitsubishi,Outlander,"$55,888Drive Away","Glen Waverley, VIC",20 km,Petrol,drive.com.au/cars-for-sale/car/969495439/
2023,Nissan,X-TRAIL,"$38,990Drive Away","Hoppers Crossing, VIC","14,361 km",Petrol,drive.com.au/cars-for-sale/car/969495585/
2016,Mitsubishi,Triton,"$31,040Drive Away","Wangara, WA","113,186 km",Diesel,drive.com.au/cars-for-sale/car/969495760/
2018,Ford,Ranger,"$47,984*Excl. Govt. Charges","Bentley , WA","137,511 km",Diesel,drive.com.au/cars-for-sale/car/969495619/
2017,Nissan,Navara,"$39,990*Excl. Govt. Charges","Midland, WA","123,283 km",Diesel,drive.com.au/cars-for-sale/car/969495654/
2018,Toyota,Fortuner,"$46,984*Excl. Govt. Charges","Bentley , WA","83,645 km",Diesel,drive.com.au/cars-for-sale/car/969495676/
2017,Nissan,Navara,"$39,990*Excl. Govt. Charges","Midland, WA","123,283 km",Diesel,drive.com.au/cars-for-sale/car/969495656/
2020,Toyota,Hilux,"$47,980*Excl. Govt. Charges","Bentley , WA","108,211 km",Diesel,drive.com.au/cars-for-sale/car/969495673/
2020,Isuzu,D-MAX,"$33,218Drive Away","Christies Beach, SA","47,329 km",Diesel,drive.com.au/cars-for-sale/car/969495685/
2020,Toyota,Hilux,"$52,988*Excl. Govt. Charges","Bentley , WA","112,254 km",Diesel,drive.com.au/cars-for-sale/car/969496008/
2024,LDV,Deliver 9,"$63,990Drive Away","North Lakes, QLD",13 km,Diesel,drive.com.au/cars-for-sale/car/969495686/
2020,Nissan,Patrol,"$86,988*Excl. Govt. Charges","Bentley , WA","56,846 km",Petrol,drive.com.au/cars-for-sale/car/969496087/
2023,Nissan,X-TRAIL,"$38,544Drive Away","Hoppers Crossing, VIC","15,506 km",Petrol,drive.com.au/cars-for-sale/car/969495714/
2016,Mitsubishi,Triton,"$32,121Drive Away","Wangara, WA","95,524 km",Diesel,drive.com.au/cars-for-sale/car/969495742/
2018,Toyota,Landcruiser,"$114,984*Excl. Govt. Charges","Bentley , WA","119,150 km",Diesel,drive.com.au/cars-for-sale/car/969495810/
2013,Mazda,BT-50,"$37,999Drive Away",,"38,136 km",Diesel,drive.com.au/cars-for-sale/car/969495833/
2022,Toyota,Hilux,"$59,977*Excl. Govt. Charges","Bentley , WA","56,217 km",Diesel,drive.com.au/cars-for-sale/car/969495853/
2023,Nissan,Navara,"$72,990*Excl. Govt. Charges","Morley, WA","7,858 km",Diesel,drive.com.au/cars-for-sale/car/969495919/
2018,Toyota,Hilux,"$35,010Drive Away","Southport, QLD","219,020 km",Diesel,drive.com.au/cars-for-sale/car/969495924/
2022,Jeep,Compass,"$31,950*Excl. Govt. Charges","Morley, WA","49,855 km",Petrol,drive.com.au/cars-for-sale/car/969495949/
2016,Mitsubishi,Triton,"$34,989*Excl. Govt. Charges","Maddington, WA","137,500 km",Diesel,drive.com.au/cars-for-sale/car/969495954/
2016,Mitsubishi,Triton,"$36,476Drive Away","Maddington, WA","137,500 km",Diesel,drive.com.au/cars-for-sale/car/969495959/
2016,Mitsubishi,Triton,"$34,989*Excl. Govt. Charges","Maddington, WA","137,500 km",Diesel,drive.com.au/cars-for-sale/car/969495960/
2017,Mercedes-Benz,CLA-Class,"$63,990*Excl. Govt. Charges","Midland, WA","72,000 km",Petrol,drive.com.au/cars-for-sale/car/969495967/
2016,Holden,Commodore,"$37,888Drive Away","Mentone, VIC","149,476 km",Petrol,drive.com.au/cars-for-sale/car/969495977/
2008,Ford,Falcon,"$23,990*Excl. Govt. Charges","Maddington, WA","142,526 km",Petrol,drive.com.au/cars-for-sale/car/969495993/
2019,Ford,Ranger,"$48,988*Excl. Govt. Charges","Bentley , WA","88,790 km",Diesel,drive.com.au/cars-for-sale/car/969496007/
2013,Toyota,Landcruiser,"$60,000*Excl. Govt. Charges","Melville, WA","206,088 km",Diesel,drive.com.au/cars-for-sale/car/969496010/
2016,Holden,Ute,"$54,990*Excl. Govt. Charges","Midland, WA","31,481 km",Petrol,drive.com.au/cars-for-sale/car/969496068/
2019,Nissan,Navara,"$37,000*Excl. Govt. Charges","Melville, WA","101,499 km",Diesel,drive.com.au/cars-for-sale/car/969496072/
2022,Toyota,Fortuner,"$49,910Drive Away","Derwent Park, TAS","72,580 km",Diesel,drive.com.au/cars-for-sale/car/969495330/
2018,Nissan,Navara,"$42,000*Excl. Govt. Charges","Melville, WA","78,260 km",Diesel,drive.com.au/cars-for-sale/car/969495324/
2023,Mazda,BT-50,"$68,888Drive Away","Rockingham, WA","2,657 km",Diesel,drive.com.au/cars-for-sale/car/969495528/
2022,Toyota,Fortuner,"$48,830Drive Away","Derwent Park, TAS","72,468 km",Diesel,drive.com.au/cars-for-sale/car/969495329/
2018,Ford,Ranger,"$39,000*Excl. Govt. Charges","Melville, WA","146,396 km",Diesel,drive.com.au/cars-for-sale/car/969495326/
2018,BMW,X3,"$55,950*Excl. Govt. Charges","Westgate, NSW","90,837 km",Petrol,drive.com.au/cars-for-sale/car/969495338/
2017,Isuzu,D-MAX,"$44,216Drive Away","Wangara, WA","90,864 km",Diesel,drive.com.au/cars-for-sale/car/969495751/
2020,Holden,Commodore,"$27,950*Excl. Govt. Charges","Dandenong, VIC","34,283 km",Petrol,drive.com.au/cars-for-sale/car/969495343/
2017,Isuzu,D-MAX,"$40,881Drive Away","Wangara, WA","96,591 km",Diesel,drive.com.au/cars-for-sale/car/969495764/
2019,Kia,Sportage,"$29,888Drive Away","Narre Warren, VIC","93,665 km",Petrol,drive.com.au/cars-for-sale/car/969495362/
2019,Mitsubishi,Triton,"$36,984*Excl. Govt. Charges","Bentley , WA","115,018 km",Diesel,drive.com.au/cars-for-sale/car/969495809/
2023,Mazda,CX-5,"$55,116Drive Away","Mulgrave, VIC",10 km,Petrol,drive.com.au/cars-for-sale/car/969495393/
2018,Toyota,Hilux,"$48,988*Excl. Govt. Charges","Bentley , WA","99,748 km",Diesel,drive.com.au/cars-for-sale/car/969495856/
2021,Kia,Stinger,"$64,990Drive Away","Cheltenham, VIC","41,565 km",Petrol,drive.com.au/cars-for-sale/car/969495454/
2021,Ford,Ranger,"$61,996*Excl. Govt. Charges","Bentley , WA","75,340 km",Diesel,drive.com.au/cars-for-sale/car/969496038/
2023,Mazda,BT-50,"$56,555Drive Away","Rockingham, WA","2,597 km",Diesel,drive.com.au/cars-for-sale/car/969495525/
2023,Isuzu,D-MAX,"$66,984*Excl. Govt. Charges","Bentley , WA","3,089 km",Diesel,drive.com.au/cars-for-sale/car/969496040/
2021,Mazda,BT-50,"$59,097Drive Away","Rockingham, WA","46,709 km",Diesel,drive.com.au/cars-for-sale/car/969495537/
2016,Volkswagen,Amarok,"$22,990Drive Away","Moorooka Q.4105, QLD","201,668 km",Diesel,drive.com.au/cars-for-sale/car/969495538/
2023,Audi,SQ2,"$78,850Drive Away","Pennant Hills, NSW","1,112 km",Petrol,drive.com.au/cars-for-sale/car/969495549/
2022,Ford,Everest,"$58,700Drive Away","Morningside, QLD","34,610 km",Diesel,drive.com.au/cars-for-sale/car/969495569/
2018,Mitsubishi,Triton,"$34,063Drive Away","Laverton North, VIC","77,449 km",Diesel,drive.com.au/cars-for-sale/car/969495576/
2019,Nissan,Navara,"$40,160Drive Away","Phillip, ACT","79,442 km",Diesel,drive.com.au/cars-for-sale/car/969495614/
2014,Audi,A5,"$20,540Drive Away","Midland, WA","140,300 km",Petrol,drive.com.au/cars-for-sale/car/969495671/
2020,Suzuki,Jimny,"$36,000*Excl. Govt. Charges","Melville, WA","50,000 km",Petrol,drive.com.au/cars-for-sale/car/969495707/
2023,Mazda,CX-30,"$40,881Drive Away","Wangara, WA","4,326 km",Petrol,drive.com.au/cars-for-sale/car/969495727/
2017,Suzuki,Vitara,"$17,500Drive Away","Hamilton, NSW","125,767 km",Petrol,drive.com.au/cars-for-sale/car/969495794/
