Year,Make,Model,Location,Price,Mileage,URL
2022,Tesla,"['model', 'y', 'standard', 'range', 'ev']","Brisbane, QLD",60000,27K km,/marketplace/item/920087653050801/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', '3']","Brisbane, QLD",66990,300 km,/marketplace/item/2420847861449279/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'rwd']","Brisbane, QLD",57750,7.2K km,/marketplace/item/369450155692279/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', 's']","Brisbane, QLD",40000,42K km,/marketplace/item/2023681274654599/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', 'y']","Brisbane, QLD",52000,96K km,/marketplace/item/1575361666534662/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,Tesla,"['model', '3', 'sr+', 'rwd']","Brisbane, QLD",46500,43K km,/marketplace/item/390666103617989/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '*brand', 'new*']","Brisbane, QLD",71850,300 km,/marketplace/item/1102356777460239/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Brisbane, QLD",54890,23K km,/marketplace/item/1391157834845108/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', 'performance']","Brisbane, QLD",95000,11K km,/marketplace/item/351087441043161/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Tesla,"['model', '3']","Brisbane, QLD",40000,76K km,/marketplace/item/3332879707011870/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,,"Brisbane, QLD",41000,102K km,/marketplace/item/351613930989014/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['y', 'rwd']","Gold Coast, QLD",62500,6.8K km,/marketplace/item/751911583529496/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,Tesla,"['model', '3']","Gold Coast, QLD",48000,37K miles,/marketplace/item/2087667621588980/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Tesla,"['model', '3']","Brisbane, QLD",42000,80K km,/marketplace/item/875954014025473/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '**finance', 'available', 'for', 'visa', 'holders', 'and', 'residents**']","Brisbane, QLD",72500,9K km,/marketplace/item/310535155109615/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,Tesla,"['model', 'y', '**short', 'term', 'visa', 'holder', 'finance', 'available', 'now***']","Brisbane, QLD",71990,,/marketplace/item/697267132590103/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
